年份,省份,城市,省份代码,城市代码,胡焕庸线,地区生产总值(万元),人均地区生产总值(元),户籍人口(万人),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元)
2011,四川省,泸州市,510000,510500,东南侧,9008666,21339,503,26.5,237113,16309,25,770157,30732.52
2012,四川省,泸州市,510000,510500,东南侧,10304538,24317,505.2,27.8,194407,14744,26,923426,35407.44
2013,四川省,泸州市,510000,510500,东南侧,11404815,22450,508.4,35.9,225321,15255,34,1464722,43105.41
2014,四川省,泸州市,510000,510500,东南侧,12597311,29655,508.9,37.02,343400,15132,35,1635034,47310.01
2015,四川省,泸州市,510000,510500,东南侧,13534133,31714,505.68,37.95,377740,14771,35,1834131,52051
2016,四川省,泸州市,510000,510500,东南侧,14819105,34497,508,38.432,432303,15279,35,1984606,56048
2017,四川省,泸州市,510000,510500,东南侧,15962100,37020,510,29.71,475910,17015,28,1821036,65725
2018,四川省,泸州市,510000,510500,东南侧,16949712,39230,510,36.916,510784,15606,31,2274754,72722
2019,四川省,泸州市,510000,510500,东南侧,20810000,48105,509,43.184,663380,10656,37,2824861,76607
2020,四川省,泸州市,510000,510500,东南侧,21570000,50758,,,,,,,68716
2021,四川省,泸州市,510000,510500,东南侧,24060000,56507,507,234.13,,,,,88088
2022,四川省,泸州市,510000,510500,东南侧,26020000,61054,504,50.611,,,39,2778882,
2023,四川省,泸州市,510000,510500,东南侧,27260000,63913,,,,,,,
2024,四川省,泸州市,510000,510500,东南侧,28370000,66445,,,,,,,
2000,四川省,德阳市,510000,510600,东南侧,2600749,,379.3,25.75,,10780,25,234821,9256
2001,四川省,德阳市,510000,510600,东南侧,2860074,7541,379.25,23.83,,11877,24,258202,10968.65
2002,四川省,德阳市,510000,510600,东南侧,3151091,8300,380.07,23.55,89000,12847,22,277504,12349.98
2003,四川省,德阳市,510000,510600,东南侧,3553762,9344,380.59,22.98,86639,12887,22,312071,14013.07
2004,四川省,德阳市,510000,510600,东南侧,4247771,11155,380.97,22.39,122200,13859,22,351885,16359.14
2005,四川省,德阳市,510000,510600,东南侧,4621670,12593,382.41,22.19,127856,13233,21,410287,19325.81
2006,四川省,德阳市,510000,510600,东南侧,5392036,14075,383.8,22.1,124727,11302,21,473339,22067.09
2007,四川省,德阳市,510000,510600,东南侧,6483972,17789,385.31,22.23,164526,11707,21,572525,27018.64
2008,四川省,德阳市,510000,510600,东南侧,6950411,19084,387.37,22.62,150407,14887,21,625587,30076.3
2009,四川省,德阳市,510000,510600,东南侧,7798930,21352,388.4,24.42,160150,14972,21,715918,34156.39
2010,四川省,德阳市,510000,510600,东南侧,9212679,25335,389.15,25.74,160027,15027,22,865848,39410.47
2011,四川省,德阳市,510000,510600,东南侧,11374486,31562,390.5,26.78,114100,15381,26,1071992,41891.05
2012,四川省,德阳市,510000,510600,东南侧,12802046,35945,391.5,25.7,213420,16334,24,1137322,46688.1
2013,四川省,德阳市,510000,510600,东南侧,13959445,35611,392,35.7,206931,17341,32,1630903,50664.9
2014,四川省,德阳市,510000,510600,东南侧,15156490,43091,392.5,34.69,221366,18025,33,1730284,52930.07
2015,四川省,德阳市,510000,510600,东南侧,16050640,45701,389.99,32.137,309725,20645,31,1828475,59411
2016,四川省,德阳市,510000,510600,东南侧,17524542,49835,392,31.757,332242,21551,27,1842442,67166
2017,四川省,德阳市,510000,510600,东南侧,19605500,55607,388,30.935,371137,20983,27,2005184,74061
2018,四川省,德阳市,510000,510600,东南侧,22138673,62569,387,30.97,407476,19573,27,2298562,83862
2019,四川省,德阳市,510000,510600,东南侧,23360000,65745,384,28.907,211311,18916,27,2306279,84108
2020,四川省,德阳市,510000,510600,东南侧,24040000,69443,,,,,,,88437
2021,四川省,德阳市,510000,510600,东南侧,26570000,76824,381,,,,,,95613
2022,四川省,德阳市,510000,510600,东南侧,28170000,81412,378,,,,31,3151135,
2023,四川省,德阳市,510000,510600,东南侧,30140000,87197,,,,,,,
2024,四川省,德阳市,510000,510600,东南侧,32650000,94540,,,,,,,
2000,四川省,绵阳市,510000,510700,东南侧,3178849,,518.36,33.23,,34800,33,259132,7745
2001,四川省,绵阳市,510000,510700,东南侧,3300864,6357,520.16,33,,14303,32,310989,9568.89
2002,四川省,绵阳市,510000,510700,东南侧,3596998,7097,521.75,32.05,159205,34751,31,333738,10707.03
2003,四川省,绵阳市,510000,510700,东南侧,3965792,7559,527.52,31.52,166200,31429,31,350283,11447.16
2004,四川省,绵阳市,510000,510700,东南侧,4549447,8611,529.07,30.73,160803,31481,30,389258,12953.68
2005,四川省,绵阳市,510000,510700,东南侧,4825313,9774,530.71,31.35,180900,33362,30,437282,14436.51
2006,四川省,绵阳市,510000,510700,东南侧,5608402,10542,533.3,31.56,182727,32797,31,505433,16566.14
2007,四川省,绵阳市,510000,510700,东南侧,6734967,13640,537.95,33.44,214986,28945,32,623692,19582.17
2008,四川省,绵阳市,510000,510700,东南侧,7431645,15012,540.71,34.55,387000,31817,33,760570,22792.03
2009,四川省,绵阳市,510000,510700,东南侧,8201664,16537,544.65,35.82,232286,29122,34,902758,26212.49
2010,四川省,绵阳市,510000,510700,东南侧,9602153,20053,541.87,34.56,454964,30359,33,1066424,32522.84
2011,四川省,绵阳市,510000,510700,东南侧,11891140,25755,543.4,36.19,307750,31318,36,1384373,38252.92
2012,四川省,绵阳市,510000,510700,东南侧,13464220,27056,545.4,39.5,378929,31433,35,1533754,43216.51
2013,四川省,绵阳市,510000,510700,东南侧,14551243,26602,547.4,48.1,401112,33208,45,2175038,48420.26
2014,四川省,绵阳市,510000,510700,东南侧,15798910,33558,548.8,51.433,395317,33915,47,2476237,52164.25
2015,四川省,绵阳市,510000,510700,东南侧,17003318,35754,545.48,51.258,,35097,46,2743645,59093
2016,四川省,绵阳市,510000,510700,东南侧,18304207,38202,545,52.601,557900,34791,45,2892624,63618
2017,四川省,绵阳市,510000,510700,东南侧,20747500,43015,537,50.638,587300,33527,46,3171953,69621
2018,四川省,绵阳市,510000,510700,东南侧,23038214,47538,536,50.554,,21999,46,3600890,78266
2019,四川省,绵阳市,510000,510700,东南侧,28560000,58685,531,44.05,,19516,40,3039391,76270
2020,四川省,绵阳市,510000,510700,东南侧,30100000,61936,,,,,,,84222
2021,四川省,绵阳市,510000,510700,东南侧,33500000,68696,527,,,,,,91150
2022,四川省,绵阳市,510000,510700,东南侧,36270000,74171,526,,,,,,
2023,四川省,绵阳市,510000,510700,东南侧,40390000,82347,,,,,,,
2024,四川省,绵阳市,510000,510700,东南侧,43440000,88356,,,,,,,
2000,四川省,广元市,510000,510800,东南侧,862872,,302.58,15.44,,13590,15,101804,6698
2001,四川省,广元市,510000,510800,东南侧,878912,2902,303.2,14.67,,24000,15,113476,7767.01
2002,四川省,广元市,510000,510800,东南侧,940993,3101,303.76,14.53,15894,13443,14,120228,8466.76
2003,四川省,广元市,510000,510800,东南侧,1040781,3425,304.08,14.82,98294,11998,14,133944,9366.71
2004,四川省,广元市,510000,510800,东南侧,1274716,4789,303.91,14.5,69825,9569,14,145539,10329.24
2005,四川省,广元市,510000,510800,东南侧,1451893,4731,304.26,14.34,77500,10056,14,169285,12161.28
2006,四川省,广元市,510000,510800,东南侧,1664814,6100,306,14.41,87188,13506,14,188900,13638.99
2007,四川省,广元市,510000,510800,东南侧,2084596,6893,307.41,14.63,87200,13599,14,237143,16999.5
2008,四川省,广元市,510000,510800,东南侧,2335589,8550,310.37,15.17,140814,15039,14,324674,22768.16
2009,四川省,广元市,510000,510800,东南侧,2704803,9874,312.73,15.77,191871,12080,15,363197,24556.93
2010,四川省,广元市,510000,510800,东南侧,3218678,11750,310.89,14.22,205015,12150,13,388156,29272.7
2011,四川省,广元市,510000,510800,东南侧,4035362,16225,311.3,14.3,241914,12061,13,467443,35984.83
2012,四川省,广元市,510000,510800,东南侧,4686575,18627,311.7,14.6,226130,19908,13,539240,40151.9
2013,四川省,广元市,510000,510800,东南侧,5187500,16734,310.2,16.8,237331,20705,14,636170,44549.72
2014,四川省,广元市,510000,510800,东南侧,5661920,22117,310.1,16.792,251031,22098,15,714081,48216.14
2015,四川省,广元市,510000,510800,东南侧,6054300,23263,305.31,16.798,264693,14772,15,841320,56946
2016,四川省,广元市,510000,510800,东南侧,6600100,25072,305,16.866,218600,14706,15,929339,64237
2017,四川省,广元市,510000,510800,东南侧,7321200,27653,303,17.269,227000,14914,14,975610,68646
2018,四川省,广元市,510000,510800,东南侧,8018500,30105,301,17.186,276107,14727,14,1068719,74338
2019,四川省,广元市,510000,510800,东南侧,9420000,35262,299,18.029,364729,13520,15,1213421,82020
2020,四川省,广元市,510000,510800,东南侧,10080000,43337,,16.548,,,16,1294514,79873
2021,四川省,广元市,510000,510800,东南侧,11160000,48638,295,,,,,,91010
2022,四川省,广元市,510000,510800,东南侧,11400000,50056,293,17.515,,,15,1461627,
2023,四川省,广元市,510000,510800,东南侧,11800000,52204,,,,,,,
2024,四川省,广元市,510000,510800,东南侧,12790000,57190,,,,,,,
2000,四川省,遂宁市,510000,510900,东南侧,1180249,,370.96,14.6,,27203,14,92832,6510
2001,四川省,遂宁市,510000,510900,东南侧,1282343,3451,372.29,14.19,,22932,14,102288,7460.83
2002,四川省,遂宁市,510000,510900,东南侧,1406178,3773,373.17,14.92,46300,12023,14,109269,8040.4
2003,四川省,遂宁市,510000,510900,东南侧,1591880,4183,376.6,17,75438,10000,15,134052,8836.65
2004,四川省,遂宁市,510000,510900,东南侧,1935270,5410,380.03,17.15,84807,13625,15,149934,10130.68
2005,四川省,遂宁市,510000,510900,东南侧,2065863,5789,374.58,18.04,77219,14069,15,180993,11699.61
2006,四川省,遂宁市,510000,510900,东南侧,2409397,6762,377.39,18.2,81427,15825,15,203940,13217.11
2007,四川省,遂宁市,510000,510900,东南侧,3049454,8565,383.44,18.67,141009,13186,16,258497,15936.93
2008,四川省,遂宁市,510000,510900,东南侧,3726708,10454,384.94,19.58,119821,14444,17,328096,18965.09
2009,四川省,遂宁市,510000,510900,东南侧,4120706,11536,387.05,19.47,136000,14651,17,371320,21451.18
2010,四川省,遂宁市,510000,510900,东南侧,4952288,14498,381.43,16.17,154874,13786,14,369469,26580.5
2011,四川省,遂宁市,510000,510900,东南侧,6033565,18528,382.7,16.72,144304,14135,15,472937,31783.4
2012,四川省,遂宁市,510000,510900,东南侧,6824097,20908,376.1,17.5,155112,33836,15,573839,37262.27
2013,四川省,遂宁市,510000,510900,东南侧,7366143,19436,379.4,20.5,155792,49094,18,703356,40168.82
2014,四川省,遂宁市,510000,510900,东南侧,8095540,24691,380.4,20.78,189923,46669,18,789068,43667.29
2015,四川省,遂宁市,510000,510900,东南侧,9158112,27868,378.75,20.13,194367,43711,17,861802,49753
2016,四川省,遂宁市,510000,510900,东南侧,10084521,30615,378,33.175,183875,42895,17,929139,55279
2017,四川省,遂宁市,510000,510900,东南侧,11380600,34835,370,20.881,243958,42195,17,1065507,61289
2018,四川省,遂宁市,510000,510900,东南侧,12213914,37493,365,20.455,284089,31436,17,1206886,71498
2019,四川省,遂宁市,510000,510900,东南侧,13460000,42113,362,33.326,318210,28603,32,1906168,59290
2020,四川省,遂宁市,510000,510900,东南侧,14030000,49495,,,,,,,68864
2021,四川省,遂宁市,510000,510900,东南侧,15200000,54300,358,,,,,,76949
2022,四川省,遂宁市,510000,510900,东南侧,16140000,58137,354,25.883,,,20,1669436,
2023,四川省,遂宁市,510000,510900,东南侧,17150000,62137,,,,,,,
2024,四川省,遂宁市,510000,510900,东南侧,18700000,68059,,,,,,,
2000,四川省,内江市,510000,511000,东南侧,1448017,,419.92,19.68,,11291,20,132543,6756
2001,四川省,内江市,510000,511000,东南侧,1604308,3820,420.06,18.06,,9791,18,148059,8262.22
2002,四川省,内江市,510000,511000,东南侧,1782231,4242,420.26,19.29,39255,11206,18,171101,9334.48
2003,四川省,内江市,510000,511000,东南侧,2003189,4761,421.25,22.16,44571,12000,21,216337,10175.78
2004,四川省,内江市,510000,511000,东南侧,2435401,6156,420.68,22.4,47253,14253,21,238008,11153.14
2005,四川省,内江市,510000,511000,东南侧,2548349,6432,420.32,22.7,51645,16832,22,270671,12433.21
2006,四川省,内江市,510000,511000,东南侧,3012878,7598,422.13,23.4,61629,17454,22,314712,14125.31
2007,四川省,内江市,510000,511000,东南侧,3746111,9432,423.83,23.12,78535,14564,22,373665,16771.32
2008,四川省,内江市,510000,511000,东南侧,4882791,12309,425.05,25.15,64282,15736,25,477569,19118.05
2009,四川省,内江市,510000,511000,东南侧,5608849,14175,425.61,21.08,67736,15724,20,462730,23217.76
2010,四川省,内江市,510000,511000,东南侧,6902791,18022,425.53,20.36,70315,15721,20,539478,26496.95
2011,四川省,内江市,510000,511000,东南侧,8546836,23062,426.1,21.23,222300,14804,20,630492,32200.82
2012,四川省,内江市,510000,511000,东南侧,9781812,26341,426.6,21.8,197658,14483,20,718728,36820.08
2013,四川省,内江市,510000,511000,东南侧,10693429,25043,426.8,24.9,204172,14998,25,1009330,40244.42
2014,四川省,内江市,510000,511000,东南侧,11567723,31024,426,30.789,342653,17836,27,1115605,41487.73
2015,四川省,内江市,510000,511000,东南侧,11985784,32080,420.43,29.816,346365,18077,26,1215892,46430
2016,四川省,内江市,510000,511000,东南侧,12976712,34667,420,28.052,372461,17890,40,1816145,45234
2017,四川省,内江市,510000,511000,东南侧,13320900,35521,415,26.038,324940,17939,23,1310818,49780
2018,四川省,内江市,510000,511000,东南侧,14117521,37885,412,31.496,99548,17076,31,1757424,56574
2019,四川省,内江市,510000,511000,东南侧,14330000,38743,408,32.244,114040,17472,32,1983573,61517
2020,四川省,内江市,510000,511000,东南侧,14660000,46228,,,,,,,67573
2021,四川省,内江市,510000,511000,东南侧,16060000,51377,403,22.886,,,,,85609
2022,四川省,内江市,510000,511000,东南侧,16570000,53485,399,,,,,,
2023,四川省,内江市,510000,511000,东南侧,18070000,58758,,,,,,,
2024,四川省,内江市,510000,511000,东南侧,19430000,63410,,,,,,,
2000,四川省,乐山市,510000,511100,东南侧,1460203,,345.9,25.55,,11295,25,185669,7430
2001,四川省,乐山市,510000,511100,东南侧,1610762,4653,346.46,24.77,,15791,24,201733,8391.56
2002,四川省,乐山市,510000,511100,东南侧,1798019,5187,346.86,24.65,56000,13928,24,234880,9750.1
2003,四川省,乐山市,510000,511100,东南侧,2155616,6208,347.63,27.1,89795,13469,26,270940,10521.94
2004,四川省,乐山市,510000,511100,东南侧,2657746,7904,347.67,29.02,206466,15730,26,315805,11966.84
2005,四川省,乐山市,510000,511100,东南侧,3067168,9116,347.9,29.88,379351,18734,27,347884,12719.71
2006,四川省,乐山市,510000,511100,东南侧,3664350,10879,350.12,29.34,398318,20281,28,385869,13630.13
2007,四川省,乐山市,510000,511100,东南侧,4529731,13475,352.45,29.08,405410,20578,28,437880,15555.24
2008,四川省,乐山市,510000,511100,东南侧,5623939,16737,353.5,29.94,405820,20413,29,533789,18355.88
2009,四川省,乐山市,510000,511100,东南侧,6190171,18379,353.22,29.32,195354,20655,29,679513,23112.69
2010,四川省,乐山市,510000,511100,东南侧,7439150,22990,353.35,28.84,191788,21554,29,785251,27199.55
2011,四川省,乐山市,510000,511100,东南侧,9180596,28339,354.4,28.18,147200,22301,27,870350,31799.42
2012,四川省,乐山市,510000,511100,东南侧,10377500,30386,355.1,27.8,198067,23539,27,1014480,37011.31
2013,四川省,乐山市,510000,511100,东南侧,11347900,31876,356,29.3,182541,22701,28,1199088,43476.72
2014,四川省,乐山市,510000,511100,东南侧,12075899,37125,355.7,26.26,214008,24407,27,1262394,46600
2015,四川省,乐山市,510000,511100,东南侧,13012326,39973,353.79,29.276,232104,24065,24,1310609,54545
2016,四川省,乐山市,510000,511100,东南侧,14065848,43110,355,26.533,226096,24553,27,1440671,54222
2017,四川省,乐山市,510000,511100,东南侧,15077900,46130,352,26.016,329762,24583,23,1533691,66329
2018,四川省,乐山市,510000,511100,东南侧,16150949,49397,351,24.048,315800,22742,21,1603841,76092
2019,四川省,乐山市,510000,511100,东南侧,18630000,56999,350,23.837,334200,21098,24,1879826,82389
2020,四川省,乐山市,510000,511100,东南侧,20030000,63259,,23.11,,,,,87663
2021,四川省,乐山市,510000,511100,东南侧,22050000,69850,347,23.219,,,20,1905038,94906
2022,四川省,乐山市,510000,511100,东南侧,23090000,73226,346,26.637,,,23,2331098,
2023,四川省,乐山市,510000,511100,东南侧,24480000,77699,,,,,,,
2024,四川省,乐山市,510000,511100,东南侧,25330000,80423,,,,,,,
2000,四川省,南充市,510000,511300,东南侧,1767797,,709.21,39.76,,30828,30,182763,6133
2001,四川省,南充市,510000,511300,东南侧,2000900,2820,709.65,26.73,,31989,27,201722,7460.13
2002,四川省,南充市,510000,511300,东南侧,2191069,3077,714.45,24.61,129800,44170,24,206336,8717.19
2003,四川省,南充市,510000,511300,东南侧,2503236,3393,717.73,24.83,127771,18814,24,226303,9568.84
2004,四川省,南充市,510000,511300,东南侧,3070864,5101,724.77,24.21,131596,19691,23,252208,10960.8
2005,四川省,南充市,510000,511300,东南侧,3352726,5409,728.94,24.41,181023,20179,24,281296,11715.79
2006,四川省,南充市,510000,511300,东南侧,3964607,6384,733.96,24.79,198698,20432,24,310391,12831.38
2007,四川省,南充市,510000,511300,东南侧,5081290,8234,742.11,25.4,216532,20445,25,379372,15291.09
2008,四川省,南充市,510000,511300,东南侧,6019472,9687,749.49,26,259748,23184,25,453533,17954.59
2009,四川省,南充市,510000,511300,东南侧,6862762,10982,753.51,27.01,355942,27022,26,569244,21677.23
2010,四川省,南充市,510000,511300,东南侧,8278238,13212,751.72,25.94,365230,27115,25,646274,25850.96
2011,四川省,南充市,510000,511300,东南侧,10294802,16386,756.2,26.21,379000,30316,25,791692,31168.98
2012,四川省,南充市,510000,511300,东南侧,11803603,18757,759.6,30.2,469492,36018,29,1067085,37013.01
2013,四川省,南充市,510000,511300,东南侧,13285528,17504,759,42.3,429255,33581,37,1533930,41626.32
2014,四川省,南充市,510000,511300,东南侧,14320202,22639,759,43.31,635502,38129,39,1456140,37539.06
2015,四川省,南充市,510000,511300,东南侧,15162016,23881,742.33,46.868,661729,31152,44,2204780,50286
2016,四川省,南充市,510000,511300,东南侧,16514004,25871,741,45.166,688164,29847,39,2178462,55202
2017,四川省,南充市,510000,511300,东南侧,18278300,28516,733,45.535,691440,28609,42,2535657,60989
2018,四川省,南充市,510000,511300,东南侧,20060333,31203,728,43.849,756791,27764,40,2827996,71344
2019,四川省,南充市,510000,511300,东南侧,23220000,36073,724,43.589,1191709,27287,39,3118454,80702
2020,四川省,南充市,510000,511300,东南侧,24010000,42482,,,,,,,83013
2021,四川省,南充市,510000,511300,东南侧,26020000,46589,715,,,,,,94607
2022,四川省,南充市,510000,511300,东南侧,26850000,48343,709,,,,,,
2023,四川省,南充市,510000,511300,东南侧,27350000,49453,,,,,,,
2024,四川省,南充市,510000,511300,东南侧,28620000,52030,,,,,,,
2000,四川省,眉山市,510000,511400,东南侧,1247982,,339.9,14.36,,7652,14,102578,7504
2001,四川省,眉山市,510000,511400,东南侧,1349000,3968,340.13,14.03,,7499,13,114597,8558.4
2002,四川省,眉山市,510000,511400,东南侧,1495165,4396,340.1,12.9,42900,10817,12,121111,9870.5
2003,四川省,眉山市,510000,511400,东南侧,1740527,5113,340.66,12.7,47500,10144,12,130070,10785.24
2004,四川省,眉山市,510000,511400,东南侧,2168208,7094,340.79,12.64,50927,12766,12,144097,11696.19
2005,四川省,眉山市,510000,511400,东南侧,2450669,8012,340.74,12.35,53459,10954,12,154046,12923.32
2006,四川省,眉山市,510000,511400,东南侧,2808286,9202,342,12.09,73123,10841,12,164001,14174.68
2007,四川省,眉山市,510000,511400,东南侧,3437497,11340,348.66,12.79,84923,11195,12,204932,16866.83
2008,四川省,眉山市,510000,511400,东南侧,4127098,13716,346.58,11.57,90682,10797,11,218847,19662.8
2009,四川省,眉山市,510000,511400,东南侧,4653274,15509,348.07,13.11,206852,10900,12,294995,23963.85
2010,四川省,眉山市,510000,511400,东南侧,5522508,18586,349.08,15.27,106666,11517,14,402107,28021.39
2011,四川省,眉山市,510000,511400,东南侧,6733376,22793,350.8,15.88,121208,12594,15,863643,27778.8
2012,四川省,眉山市,510000,511400,东南侧,7752152,26168,350.4,15.7,238778,13089,15,593118,40320.73
2013,四川省,眉山市,510000,511400,东南侧,8600424,24433,352.2,19.8,276348,12764,18,777429,43675.79
2014,四川省,眉山市,510000,511400,东南侧,9448913,31664,353,20.138,245952,13598,18,1431391,41155.58
2015,四川省,眉山市,510000,511400,东南侧,10298632,34379,349.16,20.344,553474,13598,19,1013229,54451
2016,四川省,眉山市,510000,511400,东南侧,11172317,37227,350,20.596,555780,16055,19,1661930,48714
2017,四川省,眉山市,510000,511400,东南侧,11833500,39605,345,20.136,276200,15998,18,1165856,64276
2018,四川省,眉山市,510000,511400,东南侧,12560214,42155,345,18.506,276200,13457,17,1237676,71054
2019,四川省,眉山市,510000,511400,东南侧,13800000,46168,342,23.068,180894,11984,20,1623918,62444
2020,四川省,眉山市,510000,511400,东南侧,14240000,48132,,,,,,,82096
2021,四川省,眉山市,510000,511400,东南侧,15480000,52337,341,,,,,,91180
2022,四川省,眉山市,510000,511400,东南侧,16360000,55273,339,24.43,,,20,1861,
2023,四川省,眉山市,510000,511400,东南侧,17370000,58722,,,,,,,
2024,四川省,眉山市,510000,511400,东南侧,18900000,63950,,,,,,,
2000,四川省,宜宾市,510000,511500,东南侧,2006572,,508.5,28.81,,22146,28,207156,7388
2001,四川省,宜宾市,510000,511500,东南侧,2293905,4505,509.87,26.68,,17399,27,236016,8702.65
2002,四川省,宜宾市,510000,511500,东南侧,2583049,5053,512.42,27.75,131100,21188,26,261530,9869.06
2003,四川省,宜宾市,510000,511500,东南侧,2910202,5665,515.01,28.95,143700,19660,27,306924,11279.82
2004,四川省,宜宾市,510000,511500,东南侧,3490282,6212,517.88,29.02,224570,21343,27,354850,12950.73
2005,四川省,宜宾市,510000,511500,东南侧,3700352,7890,519.19,29.82,131843,21235,28,393414,14192.42
2006,四川省,宜宾市,510000,511500,东南侧,4280679,9560,523.16,30.6,174225,19795,29,446673,15568.94
2007,四川省,宜宾市,510000,511500,东南侧,5290450,11874,526.98,31.38,407433,19453,31,575528,18589.41
2008,四川省,宜宾市,510000,511500,东南侧,6458619,14489,530.81,32.13,351018,20155,30,687387,22574.29
2009,四川省,宜宾市,510000,511500,东南侧,7207800,16163,534.93,33.91,463300,19667,31,792618,25178.46
2010,四川省,宜宾市,510000,511500,东南侧,8708472,19499,539.02,33.52,206486,18095,32,803422,25384.58
2011,四川省,宜宾市,510000,511500,东南侧,10911801,24424,542.9,36.29,380700,19363,35,1215406,34411.27
2012,四川省,宜宾市,510000,511500,东南侧,12427582,27865,546.6,36.5,436098,23269,34,1355307,40372.56
2013,四川省,宜宾市,510000,511500,东南侧,13428937,24416,550.4,35.8,481206,23400,34,1527259,45278.95
2014,四川省,宜宾市,510000,511500,东南侧,14438115,32318,554.3,35.738,431818,29524,34,1632316,48080
2015,四川省,宜宾市,510000,511500,东南侧,15259043,34060,552.08,36.206,491830,30691,33,1844513,55288
2016,四川省,宜宾市,510000,511500,东南侧,16530529,36735,556,35.32,451409,31199,33,2011913,61399
2017,四川省,宜宾市,510000,511500,东南侧,18472300,40868,555,36.111,350469,30753,33,2224670,66834
2018,四川省,宜宾市,510000,511500,东南侧,20263707,44604,552,38.189,492142,27382,34,2728088,79865
2019,四川省,宜宾市,510000,511500,东南侧,26020000,57003,552,38.792,700364,27523,33,2802098,85622
2020,四川省,宜宾市,510000,511500,东南侧,28020000,61182,,,,,,,87304
2021,四川省,宜宾市,510000,511500,东南侧,31480000,68481,550,,,,,,94820
2022,四川省,宜宾市,510000,511500,东南侧,34280000,74341,548,,,,,,
2023,四川省,宜宾市,510000,511500,东南侧,38070000,82341,,,,,,,
2024,四川省,宜宾市,510000,511500,东南侧,40060000,86705,,,,,,,
2000,四川省,广安市,510000,511600,东南侧,1264707,,438.54,14.78,,13108,15,100030,6782
2001,四川省,广安市,510000,511600,东南侧,1385407,3150,441.22,13.14,,14550,13,109193,8510.76
2002,四川省,广安市,510000,511600,东南侧,1544405,3486,444.34,11.55,90032,30199,12,113915,9769.73
2003,四川省,广安市,510000,511600,东南侧,1763470,3950,448.53,10.98,119150,31339,11,120870,11109.38
2004,四川省,广安市,510000,511600,东南侧,2175811,4800,452.85,10.75,83462,15339,11,134223,12348.02
2005,四川省,广安市,510000,511600,东南侧,2463199,6566,454.55,10.68,87023,15803,11,146365,13527.26
2006,四川省,广安市,510000,511600,东南侧,2811095,7483,457.54,10.73,112787,16118,11,159385,14649.36
2007,四川省,广安市,510000,511600,东南侧,3388327,9054,462.53,11.01,126176,15168,11,203661,18998.23
2008,四川省,广安市,510000,511600,东南侧,4049030,10862,466.45,11.13,163620,15510,11,250459,23212.14
2009,四川省,广安市,510000,511600,东南侧,4503368,12140,470.02,11.25,155556,12247,11,275453,25178.52
2010,四川省,广安市,510000,511600,东南侧,5372243,15588,466.16,11.4,168166,12495,11,319040,29216.12
2011,四川省,广安市,510000,511600,东南侧,6598977,20572,468.5,11.62,147671,14143,11,387583,34605.63
2012,四川省,广安市,510000,511600,东南侧,7522228,23410,468.5,11.9,152215,12050,12,459725,39976.09
2013,四川省,广安市,510000,511600,东南侧,8351436,17769,470.4,13,267867,9338,12,578255,46898.22
2014,四川省,广安市,510000,511600,东南侧,9196124,28489,471.7,13.907,268858,11224,13,678448,50404.75
2015,四川省,广安市,510000,511600,东南侧,10056146,31046,467.39,15.771,2703365,10100,16,696448,44079
2016,四川省,广安市,510000,511600,东南侧,10786241,33130,467,15.52,,10100,13,879272,66034
2017,四川省,广安市,510000,511600,东南侧,11737900,36034,465,32.897,160173,11290,17,1111015,69813
2018,四川省,广安市,510000,511600,东南侧,12502422,38520,462,32.924,484431,11581,14,1109542,77434
2019,四川省,广安市,510000,511600,东南侧,12500000,38522,459,33.744,164023,10013,33,2028365,62055
2020,四川省,广安市,510000,511600,东南侧,13010000,40073,,,,,,,63491
2021,四川省,广安市,510000,511600,东南侧,14180000,43558,453,173.15,,,,,81780
2022,四川省,广安市,510000,511600,东南侧,14250000,43901,449,171.18,,,,2414298,
2023,四川省,广安市,510000,511600,东南侧,15130000,46798,,,,,,,
2024,四川省,广安市,510000,511600,东南侧,16160000,50070,,,,,,,
2000,四川省,达州市,510000,511700,东南侧,1878429,,620.06,28.52,,24186,28,175889,6391
2001,四川省,达州市,510000,511700,东南侧,2053982,3255,632.41,26.41,,33618,26,195980,7673.45
2002,四川省,达州市,510000,511700,东南侧,2250400,3550,635.12,26.7,27645,30052,25,221154,8768.99
2003,四川省,达州市,510000,511700,东南侧,2551400,4009,628.46,25.86,40915,27973,25,243900,9678.57
2004,四川省,达州市,510000,511700,东南侧,3218573,5720,637.11,25.28,52780,13421,24,267524,11018.29
2005,四川省,达州市,510000,511700,东南侧,3425580,6068,640.24,25.1,60697,13240,26,298400,11688.21
2006,四川省,达州市,510000,511700,东南侧,4003974,7052,646.3,25.2,216785,14807,24,340017,14096.89
2007,四川省,达州市,510000,511700,东南侧,5104223,8970,650.11,25.37,227624,16468,25,419088,17029.18
2008,四川省,达州市,510000,511700,东南侧,6039863,10580,655.97,24.97,235634,20561,24,487054,20559.48
2009,四川省,达州市,510000,511700,东南侧,6827297,11915,657.56,24.99,234221,19993,24,543266,22768.9
2010,四川省,达州市,510000,511700,东南侧,8192030,14623,685.49,25.27,247792,19850,24,631511,26522.93
2011,四川省,达州市,510000,511700,东南侧,10118289,18474,690.7,25.78,443300,20600,25,782971,31763.53
